282,265,date-of-narration
317,205,date-of-narration
104,113,date-of-narration
54,63,date-of-narration
122,120,date-of-narration
355,345,date-of-narration
35,39,date-of-narration
340,265,date-of-narration
77,26,date-of-narration
279,280,date-of-narration
202,205,date-of-narration
323,330,date-of-narration
101,19,date-of-narration
146,149,date-of-narration
151,19,date-of-narration
159,162,date-of-narration
254,194,date-of-narration
187,19,date-of-narration
136,139,date-of-narration
258,260,date-of-narration
303,308,date-of-narration
240,44,date-of-narration
242,245,date-of-narration
347,113,date-of-narration
334,99,date-of-narration
141,144,date-of-narration
233,194,date-of-narration
216,220,date-of-narration
119,120,date-of-narration
272,44,date-of-narration
115,117,date-of-narration
46,44,date-of-narration
21,26,date-of-narration
65,75,date-of-narration
249,19,date-of-narration
310,315,date-of-narration
262,265,date-of-narration
332,214,date-of-narration
134,132,date-of-narration
183,99,date-of-narration
222,139,date-of-narration
207,194,date-of-narration
336,338,date-of-narration
41,44,date-of-narration
191,194,date-of-narration
274,277,date-of-narration
228,231,date-of-narration
155,44,date-of-narration
179,181,date-of-narration
225,44,date-of-narration
94,99,date-of-narration
247,44,date-of-narration
196,200,date-of-narration
236,99,date-of-narration
267,270,date-of-narration
16,19,date-of-narration
286,290,date-of-narration
164,167,date-of-narration
252,26,date-of-narration
153,19,date-of-narration
213,214,date-of-narration
349,353,date-of-narration
342,345,date-of-narration
359,361,date-of-narration
363,365,date-of-narration
87,19,date-of-narration
211,19,date-of-narration
300,298,date-of-narration
28,33,date-of-narration
127,132,date-of-narration
169,172,date-of-narration
174,177,date-of-narration
296,298,date-of-narration
136,137,narrator
46,47,narrator
347,105,narrator
262,263,narrator
41,42,narrator
300,301,narrator
202,203,narrator
169,170,narrator
236,47,narrator
187,188,narrator
146,147,narrator
207,208,narrator
222,223,narrator
267,268,narrator
340,283,narrator
183,184,narrator
363,364,narrator
240,47,narrator
141,142,narrator
296,297,narrator
228,229,narrator
46,48,narrator
191,192,narrator
28,29,narrator
174,175,narrator
310,42,narrator
94,95,narrator
225,226,narrator
2,3,narrator
65,66,narrator
196,197,narrator
164,165,narrator
317,203,narrator
323,324,narrator
355,356,narrator
233,234,narrator
272,156,narrator
336,55,narrator
155,156,narrator
282,283,narrator
254,255,narrator
35,36,narrator
242,243,narrator
332,48,narrator
216,217,narrator
334,95,narrator
303,304,narrator
359,360,narrator
213,48,narrator
104,105,narrator
179,180,narrator
247,156,narrator
342,343,narrator
274,275,narrator
54,55,narrator
211,137,narrator
164,166,place-of-narration
359,269,place-of-narration
279,143,place-of-narration
104,56,place-of-narration
323,326,place-of-narration
54,56,place-of-narration
191,193,place-of-narration
213,49,place-of-narration
336,57,place-of-narration
336,337,place-of-narration
41,4,place-of-narration
2,4,place-of-narration
159,56,place-of-narration
340,284,place-of-narration
94,96,place-of-narration
174,176,place-of-narration
122,116,place-of-narration
87,17,place-of-narration
183,185,place-of-narration
187,189,place-of-narration
169,171,place-of-narration
334,96,place-of-narration
65,67,place-of-narration
347,56,place-of-narration
196,199,place-of-narration
274,276,place-of-narration
233,67,place-of-narration
222,138,place-of-narration
16,17,place-of-narration
115,116,place-of-narration
254,256,place-of-narration
